Clearance and Crime Reporting Metrics,First DisplayValue,MonthYear_Display
NIBRS - Crimes Afgainst Property,103,02-25
NIBRS - Crimes Afgainst Property,97,03-25
NIBRS - Crimes Afgainst Property,116,04-25
NIBRS - Crimes Afgainst Property,104,05-25
NIBRS - Crimes Afgainst Property,112,06-25
NIBRS - Crimes Afgainst Property,125,07-25
NIBRS - Crimes Afgainst Property,122,08-25
NIBRS - Crimes Afgainst Property,109,09-25
NIBRS - Crimes Afgainst Property,113,10-25
NIBRS - Crimes Afgainst Property,94,11-25
NIBRS - Crimes Afgainst Property,105,12-25
NIBRS - Crimes Afgainst Property,73,01-26
NIBRS - Crimes Afgainst Property,65,02-26
NIBRS - Crimes Against Person,37,02-25
NIBRS - Crimes Against Person,37,03-25
NIBRS - Crimes Against Person,46,04-25
NIBRS - Crimes Against Person,57,05-25
NIBRS - Crimes Against Person,52,06-25
NIBRS - Crimes Against Person,41,07-25
NIBRS - Crimes Against Person,42,08-25
NIBRS - Crimes Against Person,35,09-25
NIBRS - Crimes Against Person,52,10-25
NIBRS - Crimes Against Person,26,11-25
NIBRS - Crimes Against Person,42,12-25
NIBRS - Crimes Against Person,47,01-26
NIBRS - Crimes Against Person,23,02-26
NIBRS - Crimes Against Society,2,02-25
NIBRS - Crimes Against Society,1,03-25
NIBRS - Crimes Against Society,2,04-25
NIBRS - Crimes Against Society,1,05-25
NIBRS - Crimes Against Society,4,06-25
NIBRS - Crimes Against Society,1,07-25
NIBRS - Crimes Against Society,1,08-25
NIBRS - Crimes Against Society,4,09-25
NIBRS - Crimes Against Society,0,10-25
NIBRS - Crimes Against Society,1,11-25
NIBRS - Crimes Against Society,2,12-25
NIBRS - Crimes Against Society,1,01-26
NIBRS - Crimes Against Society,0,02-26
NIBRS - Hate Crimes,0,02-25
NIBRS - Hate Crimes,1,03-25
NIBRS - Hate Crimes,1,04-25
NIBRS - Hate Crimes,2,05-25
NIBRS - Hate Crimes,1,06-25
NIBRS - Hate Crimes,1,07-25
NIBRS - Hate Crimes,0,08-25
NIBRS - Hate Crimes,1,09-25
NIBRS - Hate Crimes,2,10-25
NIBRS - Hate Crimes,0,11-25
NIBRS - Hate Crimes,0,12-25
NIBRS - Hate Crimes,0,01-26
NIBRS - Hate Crimes,0,02-26
NIBRS - LEO assaulted,0,02-25
NIBRS - LEO assaulted,0,03-25
NIBRS - LEO assaulted,1,04-25
NIBRS - LEO assaulted,0,05-25
NIBRS - LEO assaulted,1,06-25
NIBRS - LEO assaulted,1,07-25
NIBRS - LEO assaulted,0,08-25
NIBRS - LEO assaulted,1,09-25
NIBRS - LEO assaulted,1,10-25
NIBRS - LEO assaulted,0,11-25
NIBRS - LEO assaulted,1,12-25
NIBRS - LEO assaulted,2,01-26
NIBRS - LEO assaulted,1,02-26
NIBRS - Total Arrests,25,02-25
NIBRS - Total Arrests,23,03-25
NIBRS - Total Arrests,30,04-25
NIBRS - Total Arrests,36,05-25
NIBRS - Total Arrests,38,06-25
NIBRS - Total Arrests,33,07-25
NIBRS - Total Arrests,46,08-25
NIBRS - Total Arrests,44,09-25
NIBRS - Total Arrests,32,10-25
NIBRS - Total Arrests,30,11-25
NIBRS - Total Arrests,31,12-25
NIBRS - Total Arrests,38,01-26
NIBRS - Total Arrests,35,02-26
NIBRS - Total Offenes,142,02-25
NIBRS - Total Offenes,135,03-25
NIBRS - Total Offenes,164,04-25
NIBRS - Total Offenes,162,05-25
NIBRS - Total Offenes,168,06-25
NIBRS - Total Offenes,167,07-25
NIBRS - Total Offenes,165,08-25
NIBRS - Total Offenes,148,09-25
NIBRS - Total Offenes,165,10-25
NIBRS - Total Offenes,121,11-25
NIBRS - Total Offenes,149,12-25
NIBRS - Total Offenes,121,01-26
NIBRS - Total Offenes,88,02-26
NIBRS Clearance Rate,13.4%,02-25
NIBRS Clearance Rate,18.5%,03-25
NIBRS Clearance Rate,26.2%,04-25
NIBRS Clearance Rate,38.3%,05-25
NIBRS Clearance Rate,34.5%,06-25
NIBRS Clearance Rate,32.3%,07-25
NIBRS Clearance Rate,38.2%,08-25
NIBRS Clearance Rate,31.1%,09-25
NIBRS Clearance Rate,40.0%,10-25
NIBRS Clearance Rate,29.8%,11-25
NIBRS Clearance Rate,28.2%,12-25
NIBRS Clearance Rate,40.5%,01-26
NIBRS Clearance Rate,36.4%,02-26
