Tracked Items,Sum of Total,Month
Arrive Program Referral,17,02-25
Arrive Program Referral,35,03-25
Arrive Program Referral,25,04-25
Arrive Program Referral,37,05-25
Arrive Program Referral,22,06-25
Arrive Program Referral,16,07-25
Arrive Program Referral,9,08-25
Arrive Program Referral,26,09-25
Arrive Program Referral,23,10-25
Arrive Program Referral,13,11-25
Arrive Program Referral,25,12-25
Arrive Program Referral,9,01-26
Arrive Program Referral,24,02-26
BWC Reviews,57,02-25
BWC Reviews,77,03-25
BWC Reviews,78,04-25
BWC Reviews,60,05-25
BWC Reviews,62,06-25
BWC Reviews,75,07-25
BWC Reviews,88,08-25
BWC Reviews,79,09-25
BWC Reviews,64,10-25
BWC Reviews,88,11-25
BWC Reviews,77,12-25
BWC Reviews,91,01-26
BWC Reviews,95,02-26
Calls for Service,5546,02-25
Calls for Service,6830,03-25
Calls for Service,6826,04-25
Calls for Service,6619,05-25
Calls for Service,6589,06-25
Calls for Service,6745,07-25
Calls for Service,7214,08-25
Calls for Service,6713,09-25
Calls for Service,7254,10-25
Calls for Service,6830,11-25
Calls for Service,7005,12-25
Calls for Service,7183,01-26
Calls for Service,6154,02-26
CDS Arrest(s),0,02-25
CDS Arrest(s),0,03-25
CDS Arrest(s),1,04-25
CDS Arrest(s),0,05-25
CDS Arrest(s),1,06-25
CDS Arrest(s),1,07-25
CDS Arrest(s),2,08-25
CDS Arrest(s),1,09-25
CDS Arrest(s),1,10-25
CDS Arrest(s),1,11-25
CDS Arrest(s),3,12-25
CDS Arrest(s),0,01-26
CDS Arrest(s),0,02-26
DUI Arrest(s),2,02-25
DUI Arrest(s),1,03-25
DUI Arrest(s),1,04-25
DUI Arrest(s),5,05-25
DUI Arrest(s),2,06-25
DUI Arrest(s),5,07-25
DUI Arrest(s),3,08-25
DUI Arrest(s),4,09-25
DUI Arrest(s),4,10-25
DUI Arrest(s),5,11-25
DUI Arrest(s),4,12-25
DUI Arrest(s),5,01-26
DUI Arrest(s),3,02-26
DV Arrest(s),9,02-25
DV Arrest(s),10,03-25
DV Arrest(s),8,04-25
DV Arrest(s),18,05-25
DV Arrest(s),7,06-25
DV Arrest(s),11,07-25
DV Arrest(s),12,08-25
DV Arrest(s),12,09-25
DV Arrest(s),9,10-25
DV Arrest(s),12,11-25
DV Arrest(s),12,12-25
DV Arrest(s),12,01-26
DV Arrest(s),13,02-26
DV Incident(s),19,02-25
DV Incident(s),36,03-25
DV Incident(s),31,04-25
DV Incident(s),56,05-25
DV Incident(s),34,06-25
DV Incident(s),43,07-25
DV Incident(s),36,08-25
DV Incident(s),29,09-25
DV Incident(s),26,10-25
DV Incident(s),33,11-25
DV Incident(s),28,12-25
DV Incident(s),42,01-26
DV Incident(s),36,02-26
Handle with Care Notifications,23,02-25
Handle with Care Notifications,26,03-25
Handle with Care Notifications,31,04-25
Handle with Care Notifications,32,05-25
Handle with Care Notifications,27,06-25
Handle with Care Notifications,15,07-25
Handle with Care Notifications,8,08-25
Handle with Care Notifications,21,09-25
Handle with Care Notifications,33,10-25
Handle with Care Notifications,20,11-25
Handle with Care Notifications,19,12-25
Handle with Care Notifications,21,01-26
Handle with Care Notifications,17,02-26
Mental Health Calls,38,02-25
Mental Health Calls,48,03-25
Mental Health Calls,37,04-25
Mental Health Calls,51,05-25
Mental Health Calls,29,06-25
Mental Health Calls,41,07-25
Mental Health Calls,33,08-25
Mental Health Calls,39,09-25
Mental Health Calls,45,10-25
Mental Health Calls,50,11-25
Mental Health Calls,22,12-25
Mental Health Calls,35,01-26
Mental Health Calls,32,02-26
Motor Vehicle Stops,103,02-25
Motor Vehicle Stops,114,03-25
Motor Vehicle Stops,258,04-25
Motor Vehicle Stops,114,05-25
Motor Vehicle Stops,108,06-25
Motor Vehicle Stops,171,07-25
Motor Vehicle Stops,349,08-25
Motor Vehicle Stops,189,09-25
Motor Vehicle Stops,194,10-25
Motor Vehicle Stops,178,11-25
Motor Vehicle Stops,211,12-25
Motor Vehicle Stops,218,01-26
Motor Vehicle Stops,164,02-26
Narcan Deployment,1,02-25
Narcan Deployment,0,03-25
Narcan Deployment,1,04-25
Narcan Deployment,1,05-25
Narcan Deployment,1,06-25
Narcan Deployment,0,07-25
Narcan Deployment,0,08-25
Narcan Deployment,1,09-25
Narcan Deployment,0,10-25
Narcan Deployment,1,11-25
Narcan Deployment,0,12-25
Narcan Deployment,0,01-26
Narcan Deployment,1,02-26
Overdose(s),1,02-25
Overdose(s),2,03-25
Overdose(s),2,04-25
Overdose(s),2,05-25
Overdose(s),1,06-25
Overdose(s),1,07-25
Overdose(s),2,08-25
Overdose(s),2,09-25
Overdose(s),0,10-25
Overdose(s),1,11-25
Overdose(s),1,12-25
Overdose(s),0,01-26
Overdose(s),1,02-26
Pursuit Review,0,02-25
Pursuit Review,0,03-25
Pursuit Review,0,04-25
Pursuit Review,0,05-25
Pursuit Review,0,06-25
Pursuit Review,0,07-25
Pursuit Review,0,08-25
Pursuit Review,0,09-25
Pursuit Review,0,10-25
Pursuit Review,0,11-25
Pursuit Review,1,12-25
Pursuit Review,0,01-26
Pursuit Review,0,02-26
Self-Initiated Arrest(s),9,02-25
Self-Initiated Arrest(s),13,03-25
Self-Initiated Arrest(s),9,04-25
Self-Initiated Arrest(s),19,05-25
Self-Initiated Arrest(s),10,06-25
Self-Initiated Arrest(s),20,07-25
Self-Initiated Arrest(s),16,08-25
Self-Initiated Arrest(s),12,09-25
Self-Initiated Arrest(s),18,10-25
Self-Initiated Arrest(s),13,11-25
Self-Initiated Arrest(s),12,12-25
Self-Initiated Arrest(s),12,01-26
Self-Initiated Arrest(s),21,02-26
Tasks,1532,02-25
Tasks,2109,03-25
Tasks,1867,04-25
Tasks,1812,05-25
Tasks,1666,06-25
Tasks,1760,07-25
Tasks,1821,08-25
Tasks,1775,09-25
Tasks,1955,10-25
Tasks,1801,11-25
Tasks,1748,12-25
Tasks,1790,01-26
Tasks,1320,02-26
Total Moving Summons,158,02-25
Total Moving Summons,267,03-25
Total Moving Summons,293,04-25
Total Moving Summons,162,05-25
Total Moving Summons,161,06-25
Total Moving Summons,212,07-25
Total Moving Summons,453,08-25
Total Moving Summons,200,09-25
Total Moving Summons,330,10-25
Total Moving Summons,58,11-25
Total Moving Summons,270,12-25
Total Moving Summons,241,01-26
Total Moving Summons,188,02-26
Total Parking Summons,504,02-25
Total Parking Summons,552,03-25
Total Parking Summons,536,04-25
Total Parking Summons,548,05-25
Total Parking Summons,441,06-25
Total Parking Summons,480,07-25
Total Parking Summons,532,08-25
Total Parking Summons,461,09-25
Total Parking Summons,517,10-25
Total Parking Summons,437,11-25
Total Parking Summons,610,12-25
Total Parking Summons,610,01-26
Total Parking Summons,300,02-26
Use of Force Review,1,02-25
Use of Force Review,2,03-25
Use of Force Review,5,04-25
Use of Force Review,0,05-25
Use of Force Review,0,06-25
Use of Force Review,5,07-25
Use of Force Review,0,08-25
Use of Force Review,8,09-25
Use of Force Review,6,10-25
Use of Force Review,3,11-25
Use of Force Review,7,12-25
Use of Force Review,2,01-26
Use of Force Review,11,02-26
