Month Year,Arrest Count,First Home_Category_Detail,Home Category
February 2025,3,In County,In County
February 2025,18,Local,Local
February 2025,10,"Out of County, In State","Out of County, In State"
February 2025,1,Out of State | NY,Out of State
March 2025,5,In County,In County
March 2025,24,Local,Local
March 2025,12,"Out of County, In State","Out of County, In State"
March 2025,2,Out of State | NY,Out of State
April 2025,8,In County,In County
April 2025,29,Local,Local
April 2025,14,"Out of County, In State","Out of County, In State"
April 2025,4,Out of State | NY,Out of State
May 2025,5,In County,In County
May 2025,30,Local,Local
May 2025,18,"Out of County, In State","Out of County, In State"
May 2025,4,Out of State | NY,Out of State
June 2025,9,In County,In County
June 2025,18,Local,Local
June 2025,10,"Out of County, In State","Out of County, In State"
June 2025,7,Out of State | NY,Out of State
July 2025,12,In County,In County
July 2025,23,Local,Local
July 2025,7,"Out of County, In State","Out of County, In State"
July 2025,3,Out of State,Out of State
August 2025,6,In County,In County
August 2025,30,Local,Local
August 2025,9,"Out of County, In State","Out of County, In State"
August 2025,9,Out of State,Out of State
September 2025,7,In County,In County
September 2025,33,Local,Local
September 2025,11,"Out of County, In State","Out of County, In State"
September 2025,2,Out of State | NY,Out of State
October 2025,9,In County,In County
October 2025,26,Local,Local
October 2025,9,"Out of County, In State","Out of County, In State"
October 2025,8,Out of State,Out of State
November 2025,7,In County,In County
November 2025,33,Local,Local
November 2025,9,"Out of County, In State","Out of County, In State"
November 2025,4,Out of State | NY,Out of State
December 2025,6,In County,In County
December 2025,20,Local,Local
December 2025,8,"Out of County, In State","Out of County, In State"
December 2025,7,Out of State | NY,Out of State
January 2026,7,In County,In County
January 2026,27,Local,Local
January 2026,7,"Out of County, In State","Out of County, In State"
January 2026,1,Out of State,Out of State
February 2026,5,In County,In County
February 2026,41,Local,Local
February 2026,6,"Out of County, In State","Out of County, In State"
February 2026,6,Out of State,Out of State
