Total Cost,Course Name,Course Duration,Attendees Count
0,1st Q Rifle Qual,1,4
0,Alcotest 9510 Conversion Course,1,3
0,BCPA Instructor: CPR Recruits,1,1
0,BCPA Instructor: Gang Awareness,1,2
0,BCPA Instructor: Juvenile Law,2,1
0,BCPA Instructor: Report Writing,3,1
0,Civil Forfeiture,1,4
0,ESU Monthly Training,1,11
150,Excel 1,1,2
150,Excel II,1,2
0,Insight Policing: Conflict Resolution,2,1
0,LEAD CPO Part II,3,1
0,Managing a DWI,2,1
0,NJSP: Aride,2,1
0,NJSP: HGN & SFST,4,1
105,PST 40 Hour,4,1
0,Review of Current Gangs & OMG,1,1
0,RST: A Squad Monthly Training,1,1
0,RST: C Squad Monthly Training,1,1
0,Stronger Than Stigma: Mental Health 1st Aid,1,1
