MM-YY,RT Avg Formatted,Response_Type,Metric_Label
02-25,2:56,Emergency,Dispatch Queue
02-25,2:56,Emergency,Travel Time
02-25,5:20,Emergency,Total Response
02-25,6:22,Routine,Dispatch Queue
02-25,3:14,Routine,Travel Time
02-25,9:18,Routine,Total Response
02-25,5:14,Urgent,Dispatch Queue
02-25,4:07,Urgent,Travel Time
02-25,8:58,Urgent,Total Response
03-25,3:31,Emergency,Dispatch Queue
03-25,3:12,Emergency,Travel Time
03-25,5:53,Emergency,Total Response
03-25,6:08,Routine,Dispatch Queue
03-25,3:43,Routine,Travel Time
03-25,9:41,Routine,Total Response
03-25,4:47,Urgent,Dispatch Queue
03-25,3:54,Urgent,Travel Time
03-25,8:26,Urgent,Total Response
04-25,3:15,Emergency,Dispatch Queue
04-25,2:52,Emergency,Travel Time
04-25,5:41,Emergency,Total Response
04-25,7:46,Routine,Dispatch Queue
04-25,3:38,Routine,Travel Time
04-25,10:51,Routine,Total Response
04-25,4:53,Urgent,Dispatch Queue
04-25,4:27,Urgent,Travel Time
04-25,8:36,Urgent,Total Response
05-25,3:25,Emergency,Dispatch Queue
05-25,3:14,Emergency,Travel Time
05-25,5:46,Emergency,Total Response
05-25,8:22,Routine,Dispatch Queue
05-25,4:06,Routine,Travel Time
05-25,12:21,Routine,Total Response
05-25,5:33,Urgent,Dispatch Queue
05-25,4:26,Urgent,Travel Time
05-25,8:56,Urgent,Total Response
06-25,3:56,Emergency,Dispatch Queue
06-25,3:17,Emergency,Travel Time
06-25,6:14,Emergency,Total Response
06-25,8:14,Routine,Dispatch Queue
06-25,4:52,Routine,Travel Time
06-25,12:46,Routine,Total Response
06-25,5:02,Urgent,Dispatch Queue
06-25,4:31,Urgent,Travel Time
06-25,8:42,Urgent,Total Response
07-25,3:50,Emergency,Dispatch Queue
07-25,3:09,Emergency,Travel Time
07-25,6:13,Emergency,Total Response
07-25,8:53,Routine,Dispatch Queue
07-25,4:17,Routine,Travel Time
07-25,12:23,Routine,Total Response
07-25,5:54,Urgent,Dispatch Queue
07-25,4:30,Urgent,Travel Time
07-25,9:26,Urgent,Total Response
08-25,3:58,Emergency,Dispatch Queue
08-25,3:13,Emergency,Travel Time
08-25,6:22,Emergency,Total Response
08-25,8:45,Routine,Dispatch Queue
08-25,4:28,Routine,Travel Time
08-25,13:00,Routine,Total Response
08-25,5:37,Urgent,Dispatch Queue
08-25,4:08,Urgent,Travel Time
08-25,8:52,Urgent,Total Response
09-25,3:32,Emergency,Dispatch Queue
09-25,3:13,Emergency,Travel Time
09-25,6:10,Emergency,Total Response
09-25,9:07,Routine,Dispatch Queue
09-25,4:36,Routine,Travel Time
09-25,13:17,Routine,Total Response
09-25,5:27,Urgent,Dispatch Queue
09-25,4:16,Urgent,Travel Time
09-25,8:44,Urgent,Total Response
10-25,3:17,Emergency,Dispatch Queue
10-25,3:12,Emergency,Travel Time
10-25,5:54,Emergency,Total Response
10-25,8:16,Routine,Dispatch Queue
10-25,5:05,Routine,Travel Time
10-25,12:48,Routine,Total Response
10-25,5:02,Urgent,Dispatch Queue
10-25,4:26,Urgent,Travel Time
10-25,8:48,Urgent,Total Response
11-25,3:34,Emergency,Dispatch Queue
11-25,3:12,Emergency,Travel Time
11-25,6:06,Emergency,Total Response
11-25,7:43,Routine,Dispatch Queue
11-25,4:53,Routine,Travel Time
11-25,11:53,Routine,Total Response
11-25,4:42,Urgent,Dispatch Queue
11-25,4:19,Urgent,Travel Time
11-25,8:22,Urgent,Total Response
12-25,3:31,Emergency,Dispatch Queue
12-25,3:10,Emergency,Travel Time
12-25,5:58,Emergency,Total Response
12-25,7:09,Routine,Dispatch Queue
12-25,4:38,Routine,Travel Time
12-25,11:22,Routine,Total Response
12-25,4:41,Urgent,Dispatch Queue
12-25,4:12,Urgent,Travel Time
12-25,8:25,Urgent,Total Response
01-26,3:03,Emergency,Dispatch Queue
01-26,3:15,Emergency,Travel Time
01-26,5:50,Emergency,Total Response
01-26,7:44,Routine,Dispatch Queue
01-26,4:46,Routine,Travel Time
01-26,11:40,Routine,Total Response
01-26,4:47,Urgent,Dispatch Queue
01-26,4:39,Urgent,Travel Time
01-26,8:46,Urgent,Total Response
02-26,3:53,Emergency,Dispatch Queue
02-26,3:31,Emergency,Travel Time
02-26,6:31,Emergency,Total Response
02-26,8:53,Routine,Dispatch Queue
02-26,4:46,Routine,Travel Time
02-26,13:31,Routine,Total Response
02-26,5:11,Urgent,Dispatch Queue
02-26,4:37,Urgent,Travel Time
02-26,9:05,Urgent,Total Response
