Platform,Month,Sum of Total
Facebook,02-25,27
Facebook,03-25,67
Facebook,04-25,26
Facebook,05-25,28
Facebook,06-25,50
Facebook,07-25,52
Facebook,08-25,68
Facebook,09-25,52
Facebook,10-25,73
Facebook,11-25,44
Facebook,12-25,59
Facebook,01-26,31
Facebook,02-26,39
Instagram,02-25,28
Instagram,03-25,66
Instagram,04-25,25
Instagram,05-25,27
Instagram,06-25,48
Instagram,07-25,51
Instagram,08-25,66
Instagram,09-25,51
Instagram,10-25,72
Instagram,11-25,44
Instagram,12-25,59
Instagram,01-26,29
Instagram,02-26,39
SharePoint,02-25,5
SharePoint,03-25,4
SharePoint,04-25,3
SharePoint,05-25,7
SharePoint,06-25,0
SharePoint,07-25,4
SharePoint,08-25,0
SharePoint,09-25,1
SharePoint,10-25,6
SharePoint,11-25,4
SharePoint,12-25,10
SharePoint,01-26,8
SharePoint,02-26,3
Threads,02-25,17
Threads,03-25,27
Threads,04-25,20
Threads,05-25,18
Threads,06-25,30
Threads,07-25,21
Threads,08-25,27
Threads,09-25,19
Threads,10-25,36
Threads,11-25,27
Threads,12-25,41
Threads,01-26,18
Threads,02-26,24
Twitter/X,02-25,0
Twitter/X,03-25,8
Twitter/X,04-25,0
Twitter/X,05-25,0
Twitter/X,06-25,0
Twitter/X,07-25,0
Twitter/X,08-25,0
Twitter/X,09-25,0
Twitter/X,10-25,0
Twitter/X,11-25,0
Twitter/X,12-25,0
Twitter/X,01-26,0
Twitter/X,02-26,0
