Time_Category,Value,PeriodLabel
Accrued Comp. Time - Non-Sworn,36.33978494623656,02-25
Accrued Comp. Time - Non-Sworn,24.81818181818182,03-25
Accrued Comp. Time - Non-Sworn,24.25213675213676,04-25
Accrued Comp. Time - Non-Sworn,30.672535211267608,05-25
Accrued Comp. Time - Non-Sworn,18.65111940298508,06-25
Accrued Comp. Time - Non-Sworn,64.66911090742438,07-25
Accrued Comp. Time - Non-Sworn,55.23731343283583,08-25
Accrued Comp. Time - Non-Sworn,40.5,09-25
Accrued Comp. Time - Non-Sworn,20.0,10-25
Accrued Comp. Time - Non-Sworn,31.0,11-25
Accrued Comp. Time - Non-Sworn,58.5,12-25
Accrued Comp. Time - Non-Sworn,68.0,01-26
Accrued Comp. Time - Sworn,201.66021505376344,02-25
Accrued Comp. Time - Sworn,279.6818181818182,03-25
Accrued Comp. Time - Sworn,202.74786324786325,04-25
Accrued Comp. Time - Sworn,250.3274647887324,05-25
Accrued Comp. Time - Sworn,365.84888059701495,06-25
Accrued Comp. Time - Sworn,202.58088909257563,07-25
Accrued Comp. Time - Sworn,255.7626865671642,08-25
Accrued Comp. Time - Sworn,253.5,09-25
Accrued Comp. Time - Sworn,291.75,10-25
Accrued Comp. Time - Sworn,220.75,11-25
Accrued Comp. Time - Sworn,249.75,12-25
Accrued Comp. Time - Sworn,150.5,01-26
Accrued Overtime - Non-Sworn,172.55751295336788,02-25
Accrued Overtime - Non-Sworn,163.56647864625302,03-25
Accrued Overtime - Non-Sworn,158.91220115416323,04-25
Accrued Overtime - Non-Sworn,164.03649635036498,05-25
Accrued Overtime - Non-Sworn,209.9940863394441,06-25
Accrued Overtime - Non-Sworn,187.90196078431373,07-25
Accrued Overtime - Non-Sworn,219.50103234686856,08-25
Accrued Overtime - Non-Sworn,185.5,09-25
Accrued Overtime - Non-Sworn,203.0,10-25
Accrued Overtime - Non-Sworn,210.5,11-25
Accrued Overtime - Non-Sworn,152.5,12-25
Accrued Overtime - Non-Sworn,119.0,01-26
Accrued Overtime - Sworn,305.9424870466321,02-25
Accrued Overtime - Sworn,462.933521353747,03-25
Accrued Overtime - Sworn,441.5877988458368,04-25
Accrued Overtime - Sworn,516.9635036496351,05-25
Accrued Overtime - Sworn,627.5059136605558,06-25
Accrued Overtime - Sworn,496.5980392156863,07-25
Accrued Overtime - Sworn,482.9989676531314,08-25
Accrued Overtime - Sworn,305.5,09-25
Accrued Overtime - Sworn,451.5,10-25
Accrued Overtime - Sworn,281.75,11-25
Accrued Overtime - Sworn,307.0,12-25
Accrued Overtime - Sworn,344.0,01-26
Comp (Hours),166.5,02-25
Comp (Hours),236.75,03-25
Comp (Hours),180.0,04-25
Comp (Hours),238.5,05-25
Comp (Hours),272.75,06-25
Comp (Hours),277.75,07-25
Comp (Hours),235.25,08-25
Comp (Hours),351.25,09-25
Comp (Hours),378.0,10-25
Comp (Hours),389.0,11-25
Comp (Hours),245.75,12-25
Comp (Hours),318.0,01-26
Employee Sick Time (Hours),1377.5,02-25
Employee Sick Time (Hours),1382.0,03-25
Employee Sick Time (Hours),1541.0,04-25
Employee Sick Time (Hours),1653.0,05-25
Employee Sick Time (Hours),1377.0,06-25
Employee Sick Time (Hours),1339.5,07-25
Employee Sick Time (Hours),860.5,08-25
Employee Sick Time (Hours),1075.0,09-25
Employee Sick Time (Hours),1006.5,10-25
Employee Sick Time (Hours),946.5,11-25
Employee Sick Time (Hours),1078.0,12-25
Employee Sick Time (Hours),1635.0,01-26
Injured on Duty (Hours),149.5,02-25
Injured on Duty (Hours),0.0,03-25
Injured on Duty (Hours),0.0,04-25
Injured on Duty (Hours),0.0,05-25
Injured on Duty (Hours),135.0,06-25
Injured on Duty (Hours),252.0,07-25
Injured on Duty (Hours),180.0,08-25
Injured on Duty (Hours),472.0,09-25
Injured on Duty (Hours),80.0,10-25
Injured on Duty (Hours),24.0,11-25
Injured on Duty (Hours),32.0,12-25
Injured on Duty (Hours),269.0,01-26
Military Leave (Hours),192.0,02-25
Military Leave (Hours),36.0,03-25
Military Leave (Hours),24.0,04-25
Military Leave (Hours),84.0,05-25
Military Leave (Hours),180.0,06-25
Military Leave (Hours),24.0,07-25
Military Leave (Hours),36.0,08-25
Military Leave (Hours),48.0,09-25
Military Leave (Hours),72.0,10-25
Military Leave (Hours),12.0,11-25
Military Leave (Hours),48.0,12-25
Military Leave (Hours),66.0,01-26
Used SAT Time (Hours),592.0,02-25
Used SAT Time (Hours),542.0,03-25
Used SAT Time (Hours),411.5,04-25
Used SAT Time (Hours),397.0,05-25
Used SAT Time (Hours),545.5,06-25
Used SAT Time (Hours),373.0,07-25
Used SAT Time (Hours),718.5,08-25
Used SAT Time (Hours),592.0,09-25
Used SAT Time (Hours),720.5,10-25
Used SAT Time (Hours),580.5,11-25
Used SAT Time (Hours),627.5,12-25
Used SAT Time (Hours),497.5,01-26
